Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
79,240,60,18240,8,2,e,212,2,p
77,120,60,18240,8,2,s,213,1,p
76,120,60,18240,8,2,s,214,1,p
47,240,60,18240,8,5,e,215,2,p
79,240,60,18480,8,2,e,216,2,p
65,240,60,18480,8,5,e,217,2,p
55,240,60,18480,8,5,e,218,1,p
74,240,60,18720,8,2,e,219,2,p
67,240,60,18720,8,5,e,220,2,p
65,240,60,18720,8,5,e,221,1,p
62,240,60,18720,8,5,e,222,1,p
75,720,60,18960,8,2,c,223,2,p
48,240,60,18960,8,5,e,224,2,p
63,240,60,19200,8,5,e,225,2,p
55,240,60,19200,8,5,e,226,1,p
67,240,60,19440,8,5,e,227,2,p
63,240,60,19440,8,5,e,228,1,p
60,240,60,19440,8,5,e,229,1,p
72,720,60,19680,8,2,c,230,2,p
45,240,60,19680,8,5,e,231,2,p
63,240,60,19920,8,5,e,232,2,p
54,240,60,19920,8,5,e,233,1,p
66,240,60,20160,8,5,e,234,2,p
63,240,60,20160,8,5,e,235,1,p
60,240,60,20160,8,5,e,236,1,p
70,240,60,20400,9,2,e,237,2,p
46,240,60,20400,9,5,e,238,2,p
86,240,60,20640,9,2,e,239,2,p
63,240,60,20640,9,5,e,240,2,p
53,240,60,20640,9,5,e,241,1,p
84,240,60,20880,9,2,e,242,2,p
68,240,60,20880,9,5,e,243,2,p
63,240,60,20880,9,5,e,244,1,p
58,240,60,20880,9,5,e,245,1,p
82,120,60,21120,9,2,s,246,2,p
34,240,60,21120,9,5,e,247,2,p
80,120,60,21240,9,2,s,248,2,p
79,120,60,21360,9,2,s,249,2,p
62,240,60,21360,9,5,e,250,2,p
53,240,60,21360,9,5,e,251,1,p
80,120,60,21480,9,2,s,252,2,p
80,240,60,21600,9,2,e,253,2,p
72,120,60,21600,9,2,s,254,1,p
68,240,60,21600,9,5,e,255,2,p
58,240,60,21600,9,5,e,256,1,p
74,120,60,21720,9,2,s,257,2,p
75,960,60,21840,9,2,h,258,2,p
39,240,60,21840,9,5,e,259,2,p
63,240,60,22080,9,5,e,260,2,p
55,240,60,22080,9,5,e,261,1,p
67,240,60,22320,9,5,e,262,2,p
63,240,60,22320,9,5,e,263,1,p
58,240,60,22320,9,5,e,264,1,p
51,240,60,22560,9,5,e,265,2,p
74,240,60,22800,9,2,e,266,2,p
63,240,60,22800,9,5,e,267,2,p
55,240,60,22800,9,5,e,268,1,p
75,240,60,23040,9,2,e,269,2,p
67,240,60,23040,9,5,e,270,2,p
63,240,60,23040,9,5,e,271,1,p
58,240,60,23040,9,5,e,272,1,p
77,720,60,23280,10,2,c,273,2,p
46,240,60,23280,10,5,e,274,2,p
62,240,60,23520,10,5,e,275,2,p
